n,m,percentage,time
20,117,495,124.24361610412598
20,118,499,124.24361610412598
20,119,497,124.24361610412598
20,120,497,124.24361610412598
20,121,498,124.24361610412598
20,122,494,124.24361610412598
20,123,496,124.24361610412598
20,124,498,124.24361610412598
20,125,500,124.24361610412598
20,126,500,124.24361610412598
20,127,498,124.24361610412598
20,128,499,124.24361610412598
20,129,497,124.24361610412598
20,130,498,124.24361610412598
20,131,500,124.24361610412598
20,132,500,124.24361610412598
20,133,499,124.24361610412598
20,134,499,124.24361610412598
20,135,499,124.24361610412598
20,136,500,124.24361610412598
20,137,498,124.24361610412598
20,138,498,124.24361610412598
20,139,500,124.24361610412598
20,140,499,124.24361610412598
20,141,500,124.24361610412598
20,142,500,124.24361610412598
20,143,500,124.24361610412598
20,144,499,124.24361610412598
20,145,499,124.24361610412598
20,146,500,124.24361610412598
20,147,500,124.24361610412598
20,148,499,124.24361610412598
20,149,500,124.24361610412598
20,150,500,124.24361610412598
20,151,500,124.24361610412598
20,152,500,124.24361610412598
20,153,499,124.24361610412598
20,154,500,124.24361610412598
20,155,500,124.24361610412598
20,156,499,124.24361610412598
20,157,500,124.24361610412598
20,158,500,124.24361610412598
20,159,500,124.24361610412598
20,160,500,124.24361610412598
20,161,500,124.24361610412598
20,162,500,124.24361610412598
20,163,500,124.24361610412598
20,164,500,124.24361610412598
20,165,500,124.24361610412598
20,166,500,124.24361610412598
20,167,500,124.24361610412598
20,168,500,124.24361610412598
20,169,500,124.24361610412598
20,170,499,124.24361610412598
20,171,500,124.24361610412598
20,172,500,124.24361610412598
20,173,499,124.24361610412598
20,174,500,124.24361610412598
20,175,500,124.24361610412598
20,176,500,124.24361610412598
20,177,500,124.24361610412598
20,178,500,124.24361610412598
20,179,500,124.24361610412598
20,180,500,124.24361610412598
20,181,500,124.24361610412598
20,182,500,124.24361610412598
20,183,500,124.24361610412598
20,184,499,124.24361610412598
20,185,500,124.24361610412598
20,186,498,124.24361610412598
20,187,489,124.24361610412598
20,188,500,124.24361610412598
20,189,0,124.24361610412598
20,190,500,124.24361610412598
21,0,500,101.0725564956665
21,1,500,101.0725564956665
21,2,500,101.0725564956665
21,3,500,101.0725564956665
21,4,498,101.0725564956665
21,5,498,101.0725564956665
21,6,492,101.0725564956665
21,7,493,101.0725564956665
21,8,482,101.0725564956665
21,9,472,101.0725564956665
21,10,466,101.0725564956665
21,11,461,101.0725564956665
21,12,448,101.0725564956665
21,13,425,101.0725564956665
21,14,398,101.0725564956665
21,15,409,101.0725564956665
21,16,401,101.0725564956665
21,17,358,101.0725564956665
21,18,343,101.0725564956665
21,19,332,101.0725564956665
21,20,307,101.0725564956665
21,21,288,101.0725564956665
21,22,290,101.0725564956665
21,23,278,101.0725564956665
21,24,274,101.0725564956665
21,25,282,101.0725564956665
21,26,256,101.0725564956665
21,27,234,101.0725564956665
21,28,245,101.0725564956665
21,29,240,101.0725564956665
21,30,221,101.0725564956665
21,31,236,101.0725564956665
21,32,227,101.0725564956665
21,33,234,101.0725564956665
21,34,229,101.0725564956665
21,35,209,101.0725564956665
21,36,217,101.0725564956665
21,37,227,101.0725564956665
21,38,225,101.0725564956665
21,39,228,101.0725564956665
21,40,217,101.0725564956665
21,41,218,101.0725564956665
21,42,217,101.0725564956665
21,43,213,101.0725564956665
21,44,192,101.0725564956665
21,45,216,101.0725564956665
21,46,219,101.0725564956665
21,47,220,101.0725564956665
21,48,210,101.0725564956665
21,49,198,101.0725564956665
21,50,199,101.0725564956665
21,51,192,101.0725564956665
21,52,173,101.0725564956665
21,53,194,101.0725564956665
21,54,174,101.0725564956665
21,55,171,101.0725564956665
21,56,156,101.0725564956665
21,57,165,101.0725564956665
21,58,154,101.0725564956665
21,59,158,101.0725564956665
21,60,143,101.0725564956665
21,61,151,101.0725564956665
21,62,136,101.0725564956665
21,63,142,101.0725564956665
21,64,123,101.0725564956665
21,65,127,101.0725564956665
21,66,107,101.0725564956665
21,67,114,101.0725564956665
21,68,108,101.0725564956665
21,69,109,101.0725564956665
21,70,111,101.0725564956665
21,71,109,101.0725564956665
21,72,84,101.0725564956665
21,73,92,101.0725564956665
21,74,85,101.0725564956665
21,75,74,101.0725564956665
21,76,86,101.0725564956665
21,77,55,101.0725564956665
21,78,63,101.0725564956665
21,79,62,101.0725564956665
21,80,60,101.0725564956665
21,81,51,101.0725564956665
21,82,50,101.0725564956665
21,83,49,101.0725564956665
21,84,48,101.0725564956665
21,85,37,101.0725564956665
21,86,38,101.0725564956665
21,87,56,101.0725564956665
21,88,38,101.0725564956665
21,89,42,101.0725564956665
21,90,36,101.0725564956665
21,91,34,101.0725564956665
21,92,39,101.0725564956665
21,93,30,101.0725564956665
21,94,21,101.0725564956665
21,95,25,101.0725564956665
21,96,23,101.0725564956665
21,97,26,101.0725564956665
21,98,23,101.0725564956665
21,99,24,101.0725564956665
21,100,21,101.0725564956665
21,101,19,101.0725564956665
21,102,14,101.0725564956665
21,103,11,101.0725564956665
21,104,19,101.0725564956665
21,105,13,101.0725564956665
21,106,9,101.0725564956665
21,107,12,101.0725564956665
21,108,6,101.0725564956665
21,109,13,101.0725564956665
21,110,10,101.0725564956665
21,111,6,101.0725564956665
21,112,6,101.0725564956665
21,113,8,101.0725564956665
21,114,8,101.0725564956665
21,115,3,101.0725564956665
21,116,6,101.0725564956665
21,117,6,101.0725564956665
21,118,2,101.0725564956665
21,119,4,101.0725564956665
21,120,6,101.0725564956665
21,121,4,101.0725564956665
21,122,5,101.0725564956665
21,123,5,101.0725564956665
21,124,5,101.0725564956665
21,125,4,101.0725564956665
21,126,6,101.0725564956665
21,127,4,101.0725564956665
21,128,4,101.0725564956665
21,129,3,101.0725564956665
21,130,2,101.0725564956665
21,131,5,101.0725564956665
21,132,1,101.0725564956665
21,133,3,101.0725564956665
21,134,1,101.0725564956665
21,135,3,101.0725564956665
21,136,3,101.0725564956665
21,137,1,101.0725564956665
21,138,3,101.0725564956665
21,139,1,101.0725564956665
21,140,1,101.0725564956665
21,141,1,101.0725564956665
21,142,0,101.0725564956665
21,143,1,101.0725564956665
21,144,2,101.0725564956665
21,145,1,101.0725564956665
21,146,0,101.0725564956665
21,147,0,101.0725564956665
21,148,1,101.0725564956665
21,149,0,101.0725564956665
21,150,1,101.0725564956665
21,151,1,101.0725564956665
21,152,0,101.0725564956665
21,153,1,101.0725564956665
21,154,0,101.0725564956665
21,155,0,101.0725564956665
21,156,2,101.0725564956665
21,157,0,101.0725564956665
21,158,0,101.0725564956665
21,159,1,101.0725564956665
21,160,0,101.0725564956665
21,161,0,101.0725564956665
21,162,0,101.0725564956665
21,163,0,101.0725564956665
21,164,0,101.0725564956665
21,165,1,101.0725564956665
21,166,0,101.0725564956665
21,167,0,101.0725564956665
21,168,0,101.0725564956665
21,169,2,101.0725564956665
21,170,2,101.0725564956665
21,171,0,101.0725564956665
